testCaseId,year,month,day,expectedOutput
R1,1999,0,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R2,1999,0,1,年份取值范围非法 月份取值范围非法 
R3,1999,0,15,年份取值范围非法 月份取值范围非法 
R4,1999,0,28,年份取值范围非法 月份取值范围非法 
R5,1999,0,29,年份取值范围非法 月份取值范围非法 
R6,1999,0,30,年份取值范围非法 月份取值范围非法 
R7,1999,0,31,年份取值范围非法 月份取值范围非法 
R8,1999,0,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R9,1999,1,0,年份取值范围非法 日期取值范围非法 
R10,1999,1,1,年份取值范围非法 
R11,1999,1,15,年份取值范围非法 
R12,1999,1,28,年份取值范围非法 
R13,1999,1,29,年份取值范围非法 
R14,1999,1,30,年份取值范围非法 
R15,1999,1,31,年份取值范围非法 
R16,1999,1,32,年份取值范围非法 日期取值范围非法 
R17,1999,2,0,年份取值范围非法 日期取值范围非法 
R18,1999,2,1,年份取值范围非法 
R19,1999,2,15,年份取值范围非法 
R20,1999,2,28,年份取值范围非法 
R21,1999,2,29,年份取值范围非法 日期超出该月份对应的范围 
R22,1999,2,30,年份取值范围非法 日期超出该月份对应的范围 
R23,1999,2,31,年份取值范围非法 日期超出该月份对应的范围 
R24,1999,2,32,年份取值范围非法 日期取值范围非法 
R25,1999,6,0,年份取值范围非法 日期取值范围非法 
R26,1999,6,1,年份取值范围非法 
R27,1999,6,15,年份取值范围非法 
R28,1999,6,28,年份取值范围非法 
R29,1999,6,29,年份取值范围非法 
R30,1999,6,30,年份取值范围非法 
R31,1999,6,31,年份取值范围非法 日期超出该月份对应的范围 
R32,1999,6,32,年份取值范围非法 日期取值范围非法 
R33,1999,11,0,年份取值范围非法 日期取值范围非法 
R34,1999,11,1,年份取值范围非法 
R35,1999,11,15,年份取值范围非法 
R36,1999,11,28,年份取值范围非法 
R37,1999,11,29,年份取值范围非法 
R38,1999,11,30,年份取值范围非法 
R39,1999,11,31,年份取值范围非法 日期超出该月份对应的范围 
R40,1999,11,32,年份取值范围非法 日期取值范围非法 
R41,1999,12,0,年份取值范围非法 日期取值范围非法 
R42,1999,12,1,年份取值范围非法 
R43,1999,12,15,年份取值范围非法 
R44,1999,12,28,年份取值范围非法 
R45,1999,12,29,年份取值范围非法 
R46,1999,12,30,年份取值范围非法 
R47,1999,12,31,年份取值范围非法 
R48,1999,12,32,年份取值范围非法 日期取值范围非法 
R49,1999,13,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R50,1999,13,1,年份取值范围非法 月份取值范围非法 
R51,1999,13,15,年份取值范围非法 月份取值范围非法 
R52,1999,13,28,年份取值范围非法 月份取值范围非法 
R53,1999,13,29,年份取值范围非法 月份取值范围非法 
R54,1999,13,30,年份取值范围非法 月份取值范围非法 
R55,1999,13,31,年份取值范围非法 月份取值范围非法 
R56,1999,13,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R57,2000,0,0,月份取值范围非法 日期取值范围非法 
R58,2000,0,1,月份取值范围非法 
R59,2000,0,15,月份取值范围非法 
R60,2000,0,28,月份取值范围非法 
R61,2000,0,29,月份取值范围非法 
R62,2000,0,30,月份取值范围非法 
R63,2000,0,31,月份取值范围非法 
R64,2000,0,32,月份取值范围非法 日期取值范围非法 
R65,2000,1,0,日期取值范围非法 
R66,2000,1,1,2000/1/2
R67,2000,1,15,2000/1/16
R68,2000,1,28,2000/1/29
R69,2000,1,29,2000/1/30
R70,2000,1,30,2000/1/31
R71,2000,1,31,2000/2/1
R72,2000,1,32,日期取值范围非法 
R73,2000,2,0,日期取值范围非法 
R74,2000,2,1,2000/2/2
R75,2000,2,15,2000/2/16
R76,2000,2,28,2000/2/29
R77,2000,2,29,2000/3/1
R78,2000,2,30,日期超出该月份对应的范围 
R79,2000,2,31,日期超出该月份对应的范围 
R80,2000,2,32,日期取值范围非法 
R81,2000,6,0,日期取值范围非法 
R82,2000,6,1,2000/6/2
R83,2000,6,15,2000/6/16
R84,2000,6,28,2000/6/29
R85,2000,6,29,2000/6/30
R86,2000,6,30,2000/7/1
R87,2000,6,31,日期超出该月份对应的范围 
R88,2000,6,32,日期取值范围非法 
