testCaseId,x,y,expectedOutput
R1,14,1,0.01
R2,27,2,-1
R3,30,3,-1
R4,42,5,-1
R5,23,7,-1
R6,61,1,0.015
R7,99,2,0.015
R8,92,3,-1
R9,93,5,-1
R10,115,9,-1
R11,126,1,0.02
R12,171,2,0.02
R13,157,3,0.02
R14,146,4,-1
R15,146,11,-1
R16,264,1,0.025
R17,260,2,0.025
R18,233,3,0.025
R19,280,5,-1
R20,259,7,-1
R21,12288,1,0.03
R22,35749,2,0.03
R23,8690,3,0.03
R24,2241,4,0.03
R25,301,7,-1
R26,6,-1,-1
R27,55,92,-1
R28,72,-1,-1
R29,66,70,-1
R30,169,-1,-1
R31,143,38,-1
R32,231,-1,-1
R33,194,68,-1
R34,33392,-1,-1
R35,8875,63,-1
R36,-1,1,-1
R37,85225,1,-1
R38,-1,2,-1
R39,50950,2,-1
R40,-1,3,-1
R41,72594,3,-1
R42,-1,6,-1
R43,52682,4,-1
R44,-1,9,-1
R45,79381,7,-1
