testCaseId,a,b,c,expectedOutput
R1,6,6,6,等边三角形
R2,3.3,3.3,4.4,等腰三角形
R3,7,8,9,非等腰三角形
R4,11,5,5,非三角形
R5,5,5,0,c不能为0 
R6,5,5,-1,c取值不能为负 
R7,5,5,101,c取值不在范围之内 
R8,5,0,5,b不能为0 
R9,5,0,0,b不能为0 c不能为0 
R10,5,0,-1,b不能为0 c取值不能为负 
R11,5,0,101,b不能为0 c取值不在范围之内 
R12,5,-1,5,b取值不能为负 
R13,5,-1,0,b取值不能为负 c不能为0 
R14,5,-1,-1,b取值不能为负 c取值不能为负 
R15,5,-1,101,b取值不能为负 c取值不在范围之内 
R16,5,101,5,b取值不在范围之内 
R17,5,101,0,b取值不在范围之内 c不能为0 
R18,5,101,-1,b取值不在范围之内 c取值不能为负 
R19,5,101,101,b取值不在范围之内 c取值不在范围之内 
R20,0,5,5,a不能为0 
R21,0,5,0,a不能为0 c不能为0 
R22,0,5,-1,a不能为0 c取值不能为负 
R23,0,5,101,a不能为0 c取值不在范围之内 
R24,0,0,5,a不能为0 b不能为0 
R25,0,0,0,a不能为0 b不能为0 c不能为0 
R26,0,0,-1,a不能为0 b不能为0 c取值不能为负 
R27,0,0,101,a不能为0 b不能为0 c取值不在范围之内 
R28,0,-1,5,a不能为0 b取值不能为负 
R29,0,-1,0,a不能为0 b取值不能为负 c不能为0 
R30,0,-1,-1,a不能为0 b取值不能为负 c取值不能为负 
R31,0,-1,101,a不能为0 b取值不能为负 c取值不在范围之内 
R32,0,101,5,a不能为0 b取值不在范围之内 
R33,0,101,0,a不能为0 b取值不在范围之内 c不能为0 
R34,0,101,-1,a不能为0 b取值不在范围之内 c取值不能为负 
R35,0,101,101,a不能为0 b取值不在范围之内 c取值不在范围之内 
R36,-1,5,5,a取值不能为负 
R37,-1,5,0,a取值不能为负 c不能为0 
R38,-1,5,-1,a取值不能为负 c取值不能为负 
R39,-1,5,101,a取值不能为负 c取值不在范围之内 
R40,-1,0,5,a取值不能为负 b不能为0 
R41,-1,0,0,a取值不能为负 b不能为0 c不能为0 
R42,-1,0,-1,a取值不能为负 b不能为0 c取值不能为负 
R43,-1,0,101,a取值不能为负 b不能为0 c取值不在范围之内 
R44,-1,-1,5,a取值不能为负 b取值不能为负 
R45,-1,-1,0,a取值不能为负 b取值不能为负 c不能为0 
R46,-1,-1,-1,a取值不能为负 b取值不能为负 c取值不能为负 
R47,-1,-1,101,a取值不能为负 b取值不能为负 c取值不在范围之内 
R48,-1,101,5,a取值不能为负 b取值不在范围之内 
R49,-1,101,0,a取值不能为负 b取值不在范围之内 c不能为0 
R50,-1,101,-1,a取值不能为负 b取值不在范围之内 c取值不能为负 
R51,-1,101,101,a取值不能为负 b取值不在范围之内 c取值不在范围之内 
R52,101,5,5,a取值不在范围之内 
R53,101,5,0,a取值不在范围之内 c不能为0 
R54,101,5,-1,a取值不在范围之内 c取值不能为负 
R55,101,5,101,a取值不在范围之内 c取值不在范围之内 
R56,101,0,5,a取值不在范围之内 b不能为0 
R57,101,0,0,a取值不在范围之内 b不能为0 c不能为0 
R58,101,0,-1,a取值不在范围之内 b不能为0 c取值不能为负 
R59,101,0,101,a取值不在范围之内 b不能为0 c取值不在范围之内 
R60,101,-1,5,a取值不在范围之内 b取值不能为负 
R61,101,-1,0,a取值不在范围之内 b取值不能为负 c不能为0 
R62,101,-1,-1,a取值不在范围之内 b取值不能为负 c取值不能为负 
R63,101,-1,101,a取值不在范围之内 b取值不能为负 c取值不在范围之内 
R64,101,101,5,a取值不在范围之内 b取值不在范围之内 
R65,101,101,0,a取值不在范围之内 b取值不在范围之内 c不能为0 
R66,101,101,-1,a取值不在范围之内 b取值不在范围之内 c取值不能为负 
R67,101,101,101,a取值不在范围之内 b取值不在范围之内 c取值不在范围之内 
