testCaseId,year,month,day,expectedOutput
R1,2004,7,15,2004/7/16
R2,2004,7,28,2004/7/29
R3,2004,7,29,2004/7/30
R4,2004,7,30,2004/7/31
R5,2004,7,31,2004/8/1
R6,2004,7,0,日期取值范围非法 
R7,2004,7,32,日期取值范围非法 
R8,2004,9,15,2004/9/16
R9,2004,9,28,2004/9/29
R10,2004,9,29,2004/9/30
R11,2004,9,30,2004/10/1
R12,2004,9,31,日期超出该月份对应的范围 
R13,2004,9,0,日期取值范围非法 
R14,2004,9,32,日期取值范围非法 
R15,2004,2,15,2004/2/16
R16,2004,2,28,2004/2/29
R17,2004,2,29,2004/3/1
R18,2004,2,30,日期超出该月份对应的范围 
R19,2004,2,31,日期超出该月份对应的范围 
R20,2004,2,0,日期取值范围非法 
R21,2004,2,32,日期取值范围非法 
R22,2004,12,15,2004/12/16
R23,2004,12,28,2004/12/29
R24,2004,12,29,2004/12/30
R25,2004,12,30,2004/12/31
R26,2004,12,31,2005/1/1
R27,2004,12,0,日期取值范围非法 
R28,2004,12,32,日期取值范围非法 
R29,2004,13,15,月份取值范围非法 
R30,2004,13,28,月份取值范围非法 
R31,2004,13,29,月份取值范围非法 
R32,2004,13,30,月份取值范围非法 
R33,2004,13,31,月份取值范围非法 
R34,2004,13,0,月份取值范围非法 日期取值范围非法 
R35,2004,13,32,月份取值范围非法 日期取值范围非法 
R36,2004,-1,15,月份取值范围非法 
R37,2004,-1,28,月份取值范围非法 
R38,2004,-1,29,月份取值范围非法 
R39,2004,-1,30,月份取值范围非法 
R40,2004,-1,31,月份取值范围非法 
R41,2004,-1,0,月份取值范围非法 日期取值范围非法 
R42,2004,-1,32,月份取值范围非法 日期取值范围非法 
R43,2000,7,15,2000/7/16
R44,2000,7,28,2000/7/29
R45,2000,7,29,2000/7/30
R46,2000,7,30,2000/7/31
R47,2000,7,31,2000/8/1
R48,2000,7,0,日期取值范围非法 
R49,2000,7,32,日期取值范围非法 
R50,2000,9,15,2000/9/16
R51,2000,9,28,2000/9/29
R52,2000,9,29,2000/9/30
R53,2000,9,30,2000/10/1
R54,2000,9,31,日期超出该月份对应的范围 
R55,2000,9,0,日期取值范围非法 
R56,2000,9,32,日期取值范围非法 
R57,2000,2,15,2000/2/16
R58,2000,2,28,2000/2/29
R59,2000,2,29,2000/3/1
R60,2000,2,30,日期超出该月份对应的范围 
R61,2000,2,31,日期超出该月份对应的范围 
R62,2000,2,0,日期取值范围非法 
R63,2000,2,32,日期取值范围非法 
R64,2000,12,15,2000/12/16
R65,2000,12,28,2000/12/29
R66,2000,12,29,2000/12/30
R67,2000,12,30,2000/12/31
R68,2000,12,31,2001/1/1
R69,2000,12,0,日期取值范围非法 
R70,2000,12,32,日期取值范围非法 
R71,2000,13,15,月份取值范围非法 
R72,2000,13,28,月份取值范围非法 
R73,2000,13,29,月份取值范围非法 
R74,2000,13,30,月份取值范围非法 
R75,2000,13,31,月份取值范围非法 
R76,2000,13,0,月份取值范围非法 日期取值范围非法 
R77,2000,13,32,月份取值范围非法 日期取值范围非法 
R78,2000,-1,15,月份取值范围非法 
R79,2000,-1,28,月份取值范围非法 
R80,2000,-1,29,月份取值范围非法 
R81,2000,-1,30,月份取值范围非法 
R82,2000,-1,31,月份取值范围非法 
R83,2000,-1,0,月份取值范围非法 日期取值范围非法 
R84,2000,-1,32,月份取值范围非法 日期取值范围非法 
R85,2050,7,15,2050/7/16
R86,2050,7,28,2050/7/29
R87,2050,7,29,2050/7/30
R88,2050,7,30,2050/7/31
R89,2050,7,31,2050/8/1
R90,2050,7,0,日期取值范围非法 
R91,2050,7,32,日期取值范围非法 
R92,2050,9,15,2050/9/16
R93,2050,9,28,2050/9/29
R94,2050,9,29,2050/9/30
R95,2050,9,30,2050/10/1
R96,2050,9,31,日期超出该月份对应的范围 
R97,2050,9,0,日期取值范围非法 
R98,2050,9,32,日期取值范围非法 
R99,2050,2,15,2050/2/16
R100,2050,2,28,2050/3/1
R101,2050,2,29,日期超出该月份对应的范围 
R102,2050,2,30,日期超出该月份对应的范围 
R103,2050,2,31,日期超出该月份对应的范围 
R104,2050,2,0,日期取值范围非法 
R105,2050,2,32,日期取值范围非法 
R106,2050,12,15,2050/12/16
R107,2050,12,28,2050/12/29
R108,2050,12,29,2050/12/30
R109,2050,12,30,2050/12/31
R110,2050,12,31,2051/1/1
R111,2050,12,0,日期取值范围非法 
R112,2050,12,32,日期取值范围非法 
R113,2050,13,15,月份取值范围非法 
R114,2050,13,28,月份取值范围非法 
R115,2050,13,29,月份取值范围非法 
R116,2050,13,30,月份取值范围非法 
R117,2050,13,31,月份取值范围非法 
R118,2050,13,0,月份取值范围非法 日期取值范围非法 
R119,2050,13,32,月份取值范围非法 日期取值范围非法 
R120,2050,-1,15,月份取值范围非法 
R121,2050,-1,28,月份取值范围非法 
R122,2050,-1,29,月份取值范围非法 
R123,2050,-1,30,月份取值范围非法 
R124,2050,-1,31,月份取值范围非法 
R125,2050,-1,0,月份取值范围非法 日期取值范围非法 
R126,2050,-1,32,月份取值范围非法 日期取值范围非法 
R127,1999,7,15,年份取值范围非法 
R128,1999,7,28,年份取值范围非法 
R129,1999,7,29,年份取值范围非法 
R130,1999,7,30,年份取值范围非法 
R131,1999,7,31,年份取值范围非法 
R132,1999,7,0,年份取值范围非法 日期取值范围非法 
R133,1999,7,32,年份取值范围非法 日期取值范围非法 
R134,1999,9,15,年份取值范围非法 
R135,1999,9,28,年份取值范围非法 
R136,1999,9,29,年份取值范围非法 
R137,1999,9,30,年份取值范围非法 
R138,1999,9,31,年份取值范围非法 日期超出该月份对应的范围 
R139,1999,9,0,年份取值范围非法 日期取值范围非法 
R140,1999,9,32,年份取值范围非法 日期取值范围非法 
R141,1999,2,15,年份取值范围非法 
R142,1999,2,28,年份取值范围非法 
R143,1999,2,29,年份取值范围非法 日期超出该月份对应的范围 
R144,1999,2,30,年份取值范围非法 日期超出该月份对应的范围 
R145,1999,2,31,年份取值范围非法 日期超出该月份对应的范围 
R146,1999,2,0,年份取值范围非法 日期取值范围非法 
R147,1999,2,32,年份取值范围非法 日期取值范围非法 
R148,1999,12,15,年份取值范围非法 
R149,1999,12,28,年份取值范围非法 
R150,1999,12,29,年份取值范围非法 
R151,1999,12,30,年份取值范围非法 
R152,1999,12,31,年份取值范围非法 
R153,1999,12,0,年份取值范围非法 日期取值范围非法 
R154,1999,12,32,年份取值范围非法 日期取值范围非法 
R155,1999,13,15,年份取值范围非法 月份取值范围非法 
R156,1999,13,28,年份取值范围非法 月份取值范围非法 
R157,1999,13,29,年份取值范围非法 月份取值范围非法 
R158,1999,13,30,年份取值范围非法 月份取值范围非法 
R159,1999,13,31,年份取值范围非法 月份取值范围非法 
R160,1999,13,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R161,1999,13,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R162,1999,-1,15,年份取值范围非法 月份取值范围非法 
R163,1999,-1,28,年份取值范围非法 月份取值范围非法 
R164,1999,-1,29,年份取值范围非法 月份取值范围非法 
R165,1999,-1,30,年份取值范围非法 月份取值范围非法 
R166,1999,-1,31,年份取值范围非法 月份取值范围非法 
R167,1999,-1,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R168,1999,-1,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R169,2101,7,15,年份取值范围非法 
R170,2101,7,28,年份取值范围非法 
R171,2101,7,29,年份取值范围非法 
R172,2101,7,30,年份取值范围非法 
R173,2101,7,31,年份取值范围非法 
R174,2101,7,0,年份取值范围非法 日期取值范围非法 
R175,2101,7,32,年份取值范围非法 日期取值范围非法 
R176,2101,9,15,年份取值范围非法 
R177,2101,9,28,年份取值范围非法 
R178,2101,9,29,年份取值范围非法 
R179,2101,9,30,年份取值范围非法 
R180,2101,9,31,年份取值范围非法 日期超出该月份对应的范围 
R181,2101,9,0,年份取值范围非法 日期取值范围非法 
R182,2101,9,32,年份取值范围非法 日期取值范围非法 
R183,2101,2,15,年份取值范围非法 
R184,2101,2,28,年份取值范围非法 
R185,2101,2,29,年份取值范围非法 日期超出该月份对应的范围 
R186,2101,2,30,年份取值范围非法 日期超出该月份对应的范围 
R187,2101,2,31,年份取值范围非法 日期超出该月份对应的范围 
R188,2101,2,0,年份取值范围非法 日期取值范围非法 
R189,2101,2,32,年份取值范围非法 日期取值范围非法 
R190,2101,12,15,年份取值范围非法 
R191,2101,12,28,年份取值范围非法 
R192,2101,12,29,年份取值范围非法 
R193,2101,12,30,年份取值范围非法 
R194,2101,12,31,年份取值范围非法 
R195,2101,12,0,年份取值范围非法 日期取值范围非法 
R196,2101,12,32,年份取值范围非法 日期取值范围非法 
R197,2101,13,15,年份取值范围非法 月份取值范围非法 
R198,2101,13,28,年份取值范围非法 月份取值范围非法 
R199,2101,13,29,年份取值范围非法 月份取值范围非法 
